name,integer_ops,flops,FAdd,FMul,memory_ops,loads,stores,branch_ops,uncond_branch_ops,cond_branch_ops,comparison,cpu_ops,total_ops,vector_ops
adi_N128_900,25473484553,1863705600,0,621158400,15120691336,14084121602,1036569734,1245081603,829900673,415180929,415180929,6212966400,43702963092,233049472
adi_N128_1024,32981384969,2413035520,0,804257792,19576914056,18234998786,1341915270,1611661315,1074265985,537395329,537395329,8044150784,56582995860,301727744
adi_N256_8,3464713,249856,0,81920,2097416,1937410,160006,212995,139009,73985,73985,843776,6024980,0
adi_N256_16,14990857,1089536,0,360448,8978696,8331266,647430,819203,540417,278785,278785,3653632,25878292,135168
adi_N256_32,62225929,4538368,0,1507328,37093640,34488322,2605318,3211267,2129665,1081601,1081601,15171584,107069204,573440
adi_N256_64,253427209,18513920,0,6160384,150733064,140279810,10453254,12713987,8453889,4260097,4260097,61800448,435388180,2326528
adi_N256_128,1022754313,74776576,0,24903680,607650056,565772290,41877766,50593795,33685249,16908545,16908545,249430016,1755774740,9371648
adi_N256_256,4109106697,300548096,0,100139008,2440036616,2272395266,167641350,201850883,134479617,67371265,67371265,1002176512,7051542292,37617664
adi_N256_300,5646642697,413030400,0,137625600,3352781064,3122534402,230246662,277094403,184626945,92467457,92467457,1377177600,9689548564,51686144
adi_N256_400,10047897097,735027200,0,244940800,5965414664,5556019202,409395462,492339203,328089345,164249857,164249857,2450636800,17240678164,91955200
adi_N256_512,16472604169,1205075968,0,401604608,9779020040,9108193282,670826758,806354947,537394945,268960001,268960001,4017618944,28263055124,150732800
adi_N256_600,22628965897,1655500800,0,551731200,13433241864,12511948802,921293062,1107148803,737894145,369254657,369254657,5519155200,38824857364,207052800
adi_N256_700,30808780297,2253977600,0,751206400,18288435464,17034393602,1254041862,1506713603,1004236545,502477057,502477057,7514214400,52857906964,281881344
adi_N256_800,40248114697,2944614400,0,981401600,23891149064,22253158402,1637990662,1967718403,1311538945,656179457,656179457,9816473600,69051596564,368230400
adi_N256_900,50946969097,3727411200,0,1242316800,30241382664,28168243202,2073139462,2490163203,1659801345,830361857,830361857,12425932800,87405926164,466098944
adi_N256_1024,65962769929,4826071040,0,1608515584,39153828104,36469997570,2683830534,3223322627,2148531969,1074790657,1074790657,16088301568,113165991700,603455488
adi_N300_8,4060209,292800,0,96000,2457908,2270402,187506,249603,162901,86701,86701,988800,7060520,0
adi_N300_16,17567409,1276800,0,422400,10521908,9763202,758706,960003,633301,326701,326701,4281600,30326120,158400
adi_N300_32,72921009,5318400,0,1766400,43469108,40416002,3053106,3763203,2495701,1267501,1267501,17779200,125471720,672000
adi_N300_64,296985009,21696000,0,7219200,176640308,164390402,12249906,14899203,9906901,4992301,4992301,72422400,510220520,2726400
adi_N300_128,1198540209,87628800,0,29184000,712089908,663014402,49075506,59289603,39474901,19814701,19814701,292300800,2057548520,10982400
adi_N300_256,4815359409,352204800,0,117350400,2859417908,2662963202,196454706,236544003,157593301,78950701,78950701,1174425600,8263526120,44083200
adi_N300_300,6617159409,484020000,0,161280000,3929040308,3659220002,269820306,324720003,216359701,108360301,108360301,1613880000,11354939720,60569700
adi_N300_400,11774879409,861360000,0,287040000,6990720308,6510960002,479760306,576960003,384479701,192480301,192480301,2871840000,20203919720,107760000
adi_N300_512,19303833009,1412198400,0,470630400,11459789108,10673664002,786125106,944947203,629759701,315187501,315187501,4708147200,33120767720,176640000
adi_N300_600,26518319409,1940040000,0,646560000,15742080308,14662440002,1079640306,1297440003,864719701,432720301,432720301,6467760000,45497879720,242640000
adi_N300_700,36104039409,2641380000,0,880320000,21431760308,19962180002,1469580306,1765680003,1176839701,588840301,588840301,8805720000,61942859720,330329700
adi_N300_800,47165759409,3450720000,0,1150080000,27997440308,26077920002,1919520306,2305920003,1536959701,768960301,768960301,11503680000,80919839720,431520000
adi_N300_900,59703479409,4368060000,0,1455840000,35439120308,33009660002,2429460306,2918160003,1945079701,973080301,973080301,14561640000,102428819720,546209700
adi_N300_1024,77300121009,5655552000,0,1884979200,45883392308,42738278402,3145113906,3777331203,2517810901,1259520301,1259520301,18853478400,132616396520,707174400
adi_N400_8,5413609,390400,0,128000,3277208,3027202,250006,332803,217201,115601,115601,1318400,9414020,0
adi_N400_16,23423209,1702400,0,563200,14029208,13017602,1011606,1280003,844401,435601,435601,5708800,40434820,211200
adi_N400_32,97228009,7091200,0,2355200,57958808,53888002,4070806,5017603,3327601,1690001,1690001,23705600,167295620,896000
adi_N400_64,395980009,28928000,0,9625600,235520408,219187202,16333206,19865603,13209201,6656401,6656401,96563200,680294020,3635200
adi_N400_128,1598053609,116838400,0,38912000,949453208,884019202,65434006,79052803,52633201,26419601,26419601,389734400,2743398020,14643200
adi_N400_256,6420479209,469606400,0,156467200,3812557208,3550617602,261939606,315392003,210124401,105267601,105267601,1565900800,11018034820,58777600
adi_N400_300,8822879209,645360000,0,215040000,5238720408,4878960002,359760406,432960003,288479601,144480401,144480401,2151840000,15139919620,80759600
adi_N400_400,15699839209,1148480000,0,382720000,9320960408,8681280002,639680406,769280003,512639601,256640401,256640401,3829120000,26938559620,143680000
adi_N400_512,25738444009,1882931200,0,627507200,15279718808,14231552002,1048166806,1259929603,839679601,420250001,420250001,6277529600,44161023620,235520000
adi_N400_600,35357759209,2586720000,0,862080000,20989440408,19549920002,1439520406,1729920003,1152959601,576960401,576960401,8623680000,60663839620,323520000
adi_N400_700,48138719209,3521840000,0,1173760000,28575680408,26616240002,1959440406,2354240003,1569119601,785120401,785120401,11740960000,82590479620,440439600
adi_N400_800,62887679209,4600960000,0,1533440000,37329920408,34770560002,2559360406,3074560003,2049279601,1025280401,1025280401,15338240000,107893119620,575360000
adi_N400_900,79604639209,5824080000,0,1941120000,47252160408,44012880002,3239280406,3890880003,2593439601,1297440401,1297440401,19415520000,136571759620,728279600
adi_N400_1024,103066828009,7540736000,0,2513305600,61177856408,56984371202,4193485206,5036441603,3357081201,1679360401,1679360401,25137971200,176821862020,942899200
adi_N512_8,6929417,499712,0,163840,4194824,3874818,320006,425987,278017,147969,147969,1687552,12049940,0
adi_N512_16,29981705,2179072,0,720896,17957384,16662530,1294854,1638403,1080833,557569,557569,7307264,51756564,270336
adi_N512_32,124451849,9076736,0,3014656,74187272,68976642,5210630,6422531,4259329,2163201,2163201,30343168,214138388,1146880
adi_N512_64,506854409,37027840,0,12320768,301466120,280559618,20906502,25427971,16907777,8520193,8520193,123600896,870776340,4653056
adi_N512_128,2045508617,149553152,0,49807360,1215300104,1131544578,83755526,101187587,67370497,33817089,33817089,498860032,3511549460,18743296
adi_N512_256,8218213385,601096192,0,200278016,4880073224,4544790530,335282694,403701763,268959233,134742529,134742529,2004353024,14103084564,75235328
adi_N512_300,11293285385,826060800,0,275251200,6705562120,6245068802,460493318,554188803,369253889,184934913,184934913,2754355200,19379097108,103372288
adi_N512_400,20095794185,1470054400,0,489881600,11930829320,11112038402,818790918,984678403,656178689,328499713,328499713,4901273600,34481356308,183910400
adi_N512_512,32945208329,2410151936,0,803209216,19558040072,18216386562,1341653510,1612709891,1074789889,537920001,537920001,8035237888,56526110228,301465600
adi_N512_600,45257931785,3311001600,0,1103462400,26866483720,25023897602,1842586118,2214297603,1475788289,738509313,738509313,11038310400,77649714708,414105600
adi_N512_700,61617560585,4507955200,0,1502412800,36576870920,34068787202,2508083718,3013427203,2008473089,1004954113,1004954113,15028428800,105715813908,563762688
adi_N512_800,80496229385,5889228800,0,1962803200,47782298120,44506316802,3275981318,3935436803,2623077889,1312358913,1312358913,19632947200,138103193108,736460800
adi_N512_900,101893938185,7454822400,0,2484633600,60482765320,56336486402,4146278918,4980326403,3319602689,1660723713,1660723713,24851865600,174811852308,932197888
adi_N512_1024,131925539849,9652142080,0,3217031168,78307656200,72939995138,5367661062,6446645251,4297063937,2149581313,2149581313,32176603136,226331983380,1206910976
adi_N600_8,8120409,585600,0,192000,4915808,4540802,375006,499203,325801,173401,173401,1977600,14121020,0
adi_N600_16,35134809,2553600,0,844800,21043808,19526402,1517406,1920003,1266601,653401,653401,8563200,60652220,316800
adi_N600_32,145842009,10636800,0,3532800,86938208,80832002,6106206,7526403,4991401,2535001,2535001,35558400,250943420,1344000
adi_N600_64,593970009,43392000,0,14438400,353280608,328780802,24499806,29798403,19813801,9984601,9984601,144844800,1020441020,5452800
adi_N600_128,2397080409,175257600,0,58368000,1424179808,1326028802,98151006,118579203,78949801,39629401,39629401,584601600,4115097020,21964800
adi_N600_256,9630718809,704409600,0,234700800,5718835808,5325926402,392909406,473088003,315186601,157901401,157901401,2348851200,16527052220,88166400
adi_N600_300,13234318809,968040000,0,322560000,7858080608,7318440002,539640606,649440003,432719401,216720601,216720601,3227760000,22709879420,121139400
adi_N600_400,23549758809,1722720000,0,574080000,13981440608,13021920002,959520606,1153920003,768959401,384960601,384960601,5743680000,40407839420,215520000
adi_N600_512,38607666009,2824396800,0,941260800,22919578208,21347328002,1572250206,1889894403,1259519401,630375001,630375001,9416294400,66241535420,353280000
adi_N600_600,53036638809,3880080000,0,1293120000,31484160608,29324880002,2159280606,2594880003,1729439401,865440601,865440601,12935520000,90995759420,485280000
adi_N600_700,72208078809,5282760000,0,1760640000,42863520608,39924360002,2939160606,3531360003,2353679401,1177680601,1177680601,17611440000,123885719420,660659400
